num,tiempo_secuencial,tiempo_2_hilos,tiempo_4_hilos,speedup_2,speedup_4,efficiency_2,efficiency_4
1,0.004635,0.003043,0.002097,1.5232,2.2103,0.7616,0.5526
2,0.004826,0.002977,0.001848,1.6211,2.6115,0.8105,0.6529
3,0.003230,0.002034,0.001863,1.5880,1.7338,0.7940,0.4334
4,0.002752,0.001510,0.001490,1.8225,1.8470,0.9113,0.4617
5,0.002447,0.001376,0.001426,1.7783,1.7160,0.8892,0.4290
promedio,0.003578,0.002188,0.001745,1.6353,2.0504,0.8176,0.5126
